order,r,omega,omega_ratio,amplitude,amplitude_ratio
3,54.25,0.6094445280199767,1.1340358390290355,6.59227054152278,0.659227054152278
3,54.5,0.610109951511456,1.1352740388204436,6.618418362518365,0.6618418362518365
3,54.75,0.6107784344212869,1.1365179314844562,6.644507820673622,0.6644507820673622
3,55.0,0.6114499767494694,1.137767517021073,6.670538648269098,0.6670538648269098
3,55.25,0.6121245784960037,1.1390227954302943,6.696510577585341,0.6696510577585342
3,55.5,0.6128022396608894,1.1402837667121193,6.722423340902903,0.6722423340902903
3,55.75,0.6134829602441269,1.1415504308665485,6.748276670502332,0.6748276670502331
3,56.0,0.6141667402457158,1.142822787893582,6.774070298664176,0.6774070298664177
3,56.25,0.6148535796656566,1.1441008377932196,6.799803957668985,0.6799803957668985
3,56.5,0.6155434785039489,1.1453845805654614,6.825477379797307,0.6825477379797307
3,56.75,0.6162364367605928,1.1466740162103075,6.851090297329691,0.685109029732969
3,57.0,0.6169324544355883,1.1479691447277576,6.876642442546684,0.6876642442546684
3,57.25,0.6176315315289356,1.149269966117812,6.902133547728841,0.6902133547728841
3,57.5,0.6183336680406344,1.1505764803804706,6.927563345156706,0.6927563345156706
3,57.75,0.6190388639706847,1.151888687515733,6.952931567110828,0.6952931567110828
3,58.0,0.6197471193190869,1.1532065875236,6.978237945871758,0.6978237945871758
3,58.25,0.6204584340858406,1.154530180404071,7.0034822137200425,0.7003482213720043
3,58.5,0.6211728082709459,1.1558594661571462,7.028664102936231,0.7028664102936231
3,58.75,0.6218902418744029,1.1571944447828257,7.053783345800877,0.7053783345800877
3,59.0,0.6226107348962115,1.1585351162811095,7.078839674594526,0.7078839674594526
3,59.25,0.6233342873363718,1.159881480651997,7.103832821597724,0.7103832821597724
3,59.5,0.6240608991948835,1.1612335378954888,7.128762519091023,0.7128762519091023
3,59.75,0.624790570471747,1.1625912880115852,7.153628499354971,0.7153628499354971
3,60.0,0.6255233011669622,1.1639547310002856,7.1784304946701205,0.717843049467012
3,60.25,0.6262590912805289,1.16532386686159,7.203168237317017,0.7203168237317017
3,60.5,0.6269979408124473,1.1666986955954985,7.227841459576208,0.7227841459576207
3,60.75,0.6277398497627172,1.1680792172020114,7.252449893728246,0.7252449893728247
3,61.0,0.6284848181313388,1.1694654316811282,7.2769932720536765,0.7276993272053677
3,61.25,0.6292328459183121,1.1708573390328494,7.301471326833054,0.7301471326833054
3,61.5,0.629983933123637,1.1722549392571748,7.32588379034692,0.732588379034692
3,61.75,0.6307380797473136,1.1736582323541045,7.350230394875829,0.7350230394875829
3,62.0,0.6314952857893417,1.1750672183236381,7.374510872700327,0.7374510872700327
3,62.25,0.6322555512497214,1.176481897165776,7.398724956100963,0.7398724956100964
3,62.5,0.6330188761284529,1.177902268880518,7.422872377358292,0.7422872377358292
3,62.75,0.6337852604255358,1.1793283334678641,7.446952868752856,0.7446952868752856
3,63.0,0.6345547041409705,1.1807600909278146,7.4709661625652055,0.7470966162565206
3,63.25,0.6353272072747568,1.1821975412603691,7.494911991075888,0.7494911991075888
3,63.5,0.6361027698268947,1.183640684465528,7.518790086565455,0.7518790086565456
3,63.75,0.6368813917973842,1.185089520543291,7.542600181314456,0.7542600181314456
3,64.0,0.6376630731862254,1.186544049493658,7.56634200760344,0.756634200760344
3,64.25,0.6384478139934182,1.1880042713166292,7.590015297712956,0.7590015297712955
3,64.5,0.6392356142189627,1.189470186012205,7.613619783923546,0.7613619783923546
3,64.75,0.6400264738628587,1.1909417935803845,7.637155198515767,0.7637155198515767
3,65.0,0.6408203929251064,1.1924190940211683,7.660621273770166,0.7660621273770166
3,65.25,0.6416173714057057,1.1939020873345563,7.6840177419672955,0.7684017741967295
3,65.5,0.6424174093046566,1.1953907735205485,7.7073443353876945,0.7707344335387695
3,65.75,0.6432205066219592,1.1968851525791446,7.730600786311921,0.7730600786311921
3,66.0,0.6440266633576134,1.1983852245103452,7.7537868270205195,0.7753786827020519
3,66.25,0.6448358795116192,1.19989098931415,7.776902189794041,0.777690218979404
3,66.5,0.6456481550839768,1.201402446990559,7.799946606913036,0.7799946606913035
3,66.75,0.6464634900746858,1.2029195975395721,7.822919810658046,0.7822919810658047
3,67.0,0.6472818844837465,1.2044424409611891,7.845821533309627,0.7845821533309627
3,67.25,0.6481033383111588,1.2059709772554106,7.8686515071483285,0.7868651507148329
3,67.5,0.6489278515569228,1.207505206422236,7.891409464454696,0.7891409464454696
3,67.75,0.6497554242210385,1.2090451284616661,7.914095137509278,0.7914095137509278
3,68.0,0.6505860563035056,1.2105907433736998,7.936708258592628,0.7936708258592627
3,68.25,0.6514197478043245,1.212142051158338,7.959248559985289,0.7959248559985289
3,68.5,0.652256498723495,1.2136990518155804,7.981715773967812,0.7981715773967812
3,68.75,0.6530963090610171,1.2152617453454269,8.004109632820747,0.8004109632820746
3,69.0,0.6539391788168909,1.2168301317478774,8.026429868824646,0.8026429868824646
3,69.25,0.6547851079911162,1.2184042110229323,8.048676214260055,0.8048676214260055
3,69.5,0.6556340965836933,1.2199839831705914,8.070848401407517,0.8070848401407517
3,69.75,0.656486144594622,1.2215694481908546,8.092946162547591,0.8092946162547591
3,70.0,0.6573412520239021,1.2231606060837217,8.114969229960822,0.8114969229960822
3,70.25,0.6581994188715341,1.2247574568491935,8.136917335927759,0.8136917335927759
3,70.5,0.6590606451375176,1.226360000487269,8.158790212728949,0.8158790212728949
3,70.75,0.6599249308218528,1.227968236997949,8.18058759264494,0.818058759264494
3,71.0,0.6607922759245395,1.229582166381233,8.202309207956286,0.8202309207956286
3,71.25,0.661662680445578,1.2312017886371214,8.223954790943534,0.8223954790943534
3,71.5,0.662536144384968,1.2328271037656138,8.245524073887232,0.8245524073887232
3,71.75,0.6634126677427097,1.2344581117667104,8.267016789067931,0.8267016789067931
3,72.0,0.6642922505188029,1.236094812640411,8.28843266876617,0.828843266876617
3,72.25,0.6651748927132478,1.2377372063867158,8.309771445262513,0.8309771445262513
3,72.5,0.6660605943260444,1.239385293005625,8.331032850837499,0.8331032850837499
3,72.75,0.6669493553571926,1.2410390724971383,8.352216617771685,0.8352216617771685
3,73.0,0.6678411758066924,1.242698544861256,8.37332247834561,0.8373322478345611
3,73.25,0.6687360556745439,1.2443637100979776,8.394350164839828,0.8394350164839828
3,73.5,0.6696339949607468,1.246034568207303,8.415299409534889,0.8415299409534889
3,73.75,0.6705349936653016,1.2477111191892332,8.436169944711342,0.8436169944711341
3,74.0,0.6714390517882078,1.2493933630437672,8.456961502649733,0.8456961502649734
3,74.25,0.6723461693294659,1.251081299770906,8.477673815630613,0.8477673815630613
3,74.5,0.6732563462890755,1.2527749293706485,8.498306615934528,0.8498306615934528
3,74.75,0.6741695826670366,1.254474251842995,8.518859635842034,0.8518859635842034
3,75.0,0.6750858784633496,1.2561792671879461,8.539332607633671,0.8539332607633672
3,75.25,0.676005233678014,1.257889975405501,8.55972526359,0.855972526359
3,75.5,0.67692764831103,1.2596063764956602,8.580037335991555,0.8580037335991555
3,75.75,0.6778531223623978,1.2613284704584238,8.600268557118895,0.8600268557118895
3,76.0,0.6787816558321171,1.2630562572937913,8.620418659252564,0.8620418659252564
3,76.25,0.6797132487201881,1.2647897370017631,8.640487374673118,0.8640487374673118
3,76.5,0.6806479010266108,1.266528909582339,8.660474435661099,0.8660474435661099
3,76.75,0.681585612751385,1.268273775035519,8.68037957449706,0.868037957449706
3,77.0,0.6825263838945108,1.2700243333613033,8.700202523461545,0.8700202523461545
3,77.25,0.6834702144559883,1.271780584559692,8.719943014835104,0.8719943014835104
3,77.5,0.6844171044358175,1.2735425286306845,8.73960078089829,0.8739600780898289
3,77.75,0.6853670538339982,1.2753101655742813,8.759175553931652,0.8759175553931652
3,78.0,0.6863200626505306,1.2770834953904822,8.778667066215736,0.8778667066215735
3,78.25,0.6872761308854146,1.2788625180792874,8.798075050031091,0.8798075050031091
