order,r,omega,omega_ratio,tilt_deg
3,1.8435484782361073,159.3015650831306,1.000022238487258,1.59202553425544
3,1.8819557381993595,159.30171422682128,1.0000231747430146,1.6251985928557224
3,1.9203629981626118,159.30186644563958,1.000024130303014,1.658372014098742
3,1.958770258125864,159.30202173958554,1.0000251051672557,1.6915458054027657
3,1.9971775180891163,159.30218010865914,1.00002609933574,1.724719974187116
3,2.0355847780523684,159.30234155286038,1.0000271128084666,1.7578945278721902
3,2.0739920380156205,159.30250607218926,1.0000281455854356,1.7910694738794861
3,2.112399297978873,159.3026736666458,1.000029197666647,1.8242448196316212
3,2.150806557942125,159.30284433622995,1.0000302690521008,1.85742057255235
3,2.1892138179053773,159.30301808094177,1.0000313597417971,1.890596740066593
3,2.2276210778686294,159.30319490078122,1.0000324697357357,1.9237733296004509
3,2.266028337831882,159.3033747957483,1.0000335990339166,1.9569503485812305
3,2.304435597795134,159.30355776584307,1.0000347476363403,1.990127804437463
3,2.342842857758386,159.30374381106543,1.000035915543006,2.023305704598931
3,2.3812501177216387,159.30393293141546,1.0000371027539143,2.056484056496678
3,2.419657377684891,159.30412512689313,1.000038309269065,2.0896628675630433
3,2.458064637648143,159.30432039749843,1.000039535088458,2.122842145231677
3,2.496471897611395,159.3045187432314,1.0000407802120939,2.1560218969375575
3,2.5348791575746477,159.30472016409198,1.0000420446399716,2.1892021301170215
3,2.5732864175378998,159.30492466008022,1.000043328372092,2.2223828522077786
3,2.611693677501152,159.3051322311961,1.0000446314084548,2.2555640706489357
3,2.650100937464404,159.3053428774396,1.0000459537490598,2.2887457928810164
3,2.6885081974276566,159.3055565988108,1.0000472953939077,2.3219280263459865
3,2.7269154573909087,159.30577339530961,1.0000486563429976,2.35511077848727
3,2.765322717354161,159.30599326693604,1.0000500365963298,2.388294056749774
3,2.803729977317413,159.30621621369013,1.0000514361539048,2.4214778685799097
3,2.8421372372806655,159.3064422355719,1.0000528550157222,2.4546622214256146
3,2.8805444972439176,159.30667133258126,1.0000542931817817,2.4878471227363694
3,2.9189517572071697,159.3069035047183,1.0000557506520837,2.5210325799632254
3,2.9573590171704223,159.30713875198296,1.0000572274266282,2.554218600558824
3,2.9957662771336744,159.30737707437527,1.000058723505415,2.587405191977416
3,3.0341735370969265,159.3076184718952,1.0000602388884443,2.6205923616748845
3,3.0725807970601786,159.3078629445428,1.000061773575716,2.6537801171087705
3,3.110988057023431,159.30811049231804,1.0000633275672302,2.6869684657382855
3,3.1493953169866833,159.30836111522092,1.0000649008629867,2.7201574150243415
3,3.1878025769499354,159.30861481325144,1.0000664934629857,2.7533469724295676
3,3.2262098369131875,159.3088715864096,1.000068105367227,2.7865371454183365
3,3.26461709687644,159.3091314346954,1.0000697365757105,2.8197279414567786
3,3.303024356839692,159.30939435810885,1.0000713870884368,2.8529193680128087
3,3.3414316168029443,159.30966035664994,1.0000730569054055,2.886111432556149
3,3.3798388767661964,159.30992943031868,1.0000747460266164,2.919304142558348
3,3.418246136729449,159.31020157911504,1.0000764544520697,2.952497505492801
3,3.456653396692701,159.31047680303908,1.0000781821817657,2.985691528834775
3,3.4950606566559532,159.31075510209072,1.0000799292157039,3.0188862200614266
3,3.533467916619206,159.31103647627003,1.0000816955538845,3.05208158665183
3,3.571875176582458,159.31132092557698,1.0000834811963075,3.0852776360869894
3,3.61028243654571,159.31160845001156,1.000085286142973,3.118474375849869
3,3.648689696508962,159.3118990495738,1.0000871103938809,3.151671813425412
3,3.6870969564722147,159.31219272426367,1.000088953949031,3.184869956300561
3,3.725504216435467,159.3124894740812,1.0000908168084237,3.2180688119642813
3,3.763911476398719,159.31278929902635,1.0000926989720589,3.251268387907578
3,3.802318736361971,159.31309219909915,1.0000946004399363,3.28446869162353
3,3.8407259963252236,159.3133981742996,1.0000965212120563,3.3176697306072973
3,3.8791332562884757,159.3137072246277,1.0000984612884187,3.3508715123561506
3,3.917540516251728,159.3140193500834,1.0001004206690234,3.3840740443694926
3,3.95594777621498,159.31433455066679,1.0001023993538705,3.417277334148879
3,3.9943550361782325,159.31465282637782,1.0001043973429602,3.450481389198041
3,4.032762296141485,159.31497417721647,1.0001064146362921,3.483686217022903
3,4.071169556104737,159.31529860318278,1.0001084512338665,3.516891825131614
3,4.109576816067989,159.31562610427673,1.0001105071356833,3.550098221034558
3,4.147984076031241,159.31595668049832,1.0001125823417425,3.5833054122443864
3,4.186391335994494,159.31629033184754,1.0001146768520441,3.6165134062760314
3,4.224798595957746,159.3166270583244,1.000116790666588,3.6497222106467317
3,4.263205855920998,159.31696685992893,1.0001189237853745,3.682931832876059
3,4.30161311588425,159.3173097366611,1.0001210762084034,3.716142280485928
3,4.340020375847502,159.3176556885209,1.0001232479356748,3.749353561000636
3,4.378427635810755,159.31800471550832,1.0001254389671883,3.782565681946865
3,4.416834895774007,159.3183568176234,1.0001276493029443,3.815778650853718
3,4.455242155737259,159.31871199486613,1.000129878942943,3.8489924752527394
3,4.493649415700512,159.3190702472365,1.0001321278871838,3.8822071626779304
3,4.532056675663764,159.31943157473452,1.0001343961356672,3.915422720665773
3,4.570463935627016,159.31979597736017,1.000136683688393,3.9486391567552634
3,4.608871195590268,159.3201634551135,1.000138990545361,3.9818564784879147
3,4.64727845555352,159.3205340079944,1.0001413167065716,4.015074693407797
3,4.685685715516772,159.320907636003,1.0001436621720246,4.0482938090615495
3,4.7240929754800245,159.32128433913923,1.00014602694172,4.081513832998402
3,4.7625002354432775,159.3216641174031,1.0001484110156578,4.114734772770208
3,4.80090749540653,159.32204697079462,1.000150814393838,4.147956635931448
3,4.839314755369782,159.32243289931378,1.0001532370762607,4.181179430039276
3,4.877722015333034,159.32282190296056,1.0001556790629256,4.214403162653518
3,4.916129275296286,159.323213981735,1.0001581403538329,4.247627841336715
3,4.954536535259538,159.3236091356371,1.0001606209489828,4.280853473654126
3,4.99294379522279,159.3240073646668,1.000163120848375,4.314080067173769
3,5.031351055186042,159.3244086688242,1.0001656400520098,4.347307629466428
3,5.069758315149295,159.3248130481092,1.000168178559887,4.3805361681056825
3,5.108165575112547,159.32522050252186,1.0001707363720065,4.4137656906679315
3,5.1465728350757995,159.32563103206215,1.0001733134883684,4.446996204732412
3,5.184980095039052,159.32604463673007,1.0001759099089724,4.480227717881227
3,5.223387355002304,159.32646131652567,1.0001785256338194,4.513460237699355
3,5.261794614965556,159.3268810714489,1.0001811606629085,4.546693771774691
3,5.300201874928808,159.32730390149976,1.00018381499624,4.579928327698057
3,5.338609134892061,159.32772980667826,1.0001864886338139,4.613163913063224
3,5.377016394855313,159.32815878698443,1.0001891815756303,4.64640053546694
3,5.415423654818565,159.3285908424182,1.000191893821689,4.679638202508952
3,5.453830914781817,159.32902597297965,1.0001946253719902,4.7128769217920246
3,5.4922381747450695,159.32946417866873,1.000197376226534,4.746116700921965
3,5.530645434708322,159.32990545948545,1.0002001463853198,4.7793575475076455
3,5.569052694671574,159.33034981542983,1.0002029358483484,4.812599469161032
3,5.607459954634826,159.33079724650185,1.0002057446156192,4.8458424734971945
3,5.645867214598079,159.33124775270147,1.0002085726871324,4.879086568134339
3,5.684274474561331,159.3317013340288,1.0002114200628882,4.912331760693826
3,5.722681734524583,159.33215799048372,1.0002142867428863,4.945578058800198
3,5.761088994487835,159.3326177220663,1.0002171727271265,4.978825470081198
3,5.799496254451087,159.33308052877652,1.0002200780156096,5.012074002167794
3,5.837903514414339,159.3335464106144,1.000223002608335,5.0453236626942015
3,5.8763107743775915,159.3340153675799,1.0002259465053025,5.078574459297905
3,5.9147180343408445,159.33448739967304,1.0002289097065127,5.111826399619686
3,5.953125294304097,159.33496250689385,1.0002318922119653,5.145079491303639
3,5.991532554267349,159.33544068924226,1.00023489402166,5.178333741997198
3,6.029939814230601,159.33592194671834,1.0002379151355976,5.211589159351163
3,6.068347074193853,159.33640627932206,1.0002409555537772,5.244845751019715
3,6.106754334157105,159.33689368705342,1.0002440152761995,5.278103524660446
3,6.145161594120357,159.33738416991244,1.000247094302864,5.311362487934377
3,6.183568854083609,159.33787772789907,1.000250192633771,5.344622648505988
3,6.221976114046862,159.33837436101336,1.0002533102689204,5.377884014043236
3,6.2603833740101145,159.3388740692553,1.0002564472083122,5.4111465922175706
3,6.298790633973367,159.3393768526249,1.0002596034519466,5.444410390703975
3,6.337197893936619,159.3398827111221,1.0002627789998233,5.477675417180977
3,6.375605153899871,159.34039164474697,1.0002659738519424,5.510941679330674
3,6.414012413863123,159.34090365349948,1.0002691880083039,5.544209184838758
3,6.452419673826375,159.34141873737963,1.0002724214689078,5.5774779413945375
3,6.490826933789628,159.3419368963874,1.000275674233754,5.610747956690963
3,6.52923419375288,159.34245813052283,1.0002789463028425,5.6440192384246455
3,6.567641453716132,159.3429824397859,1.0002822376761737,5.677291794295885
3,6.606048713679384,159.34350982417664,1.0002855483537474,5.7105656320086915
3,6.6444559736426365,159.344040283695,1.0002888783355632,5.743840759270812
3,6.682863233605889,159.344573818341,1.0002922276216215,5.777117183793746
3,6.721270493569141,159.34511042811465,1.0002955962119224,5.810394913292781
3,6.759677753532393,159.34565011301592,1.0002989841064656,5.843673955486997
3,6.798085013495646,159.34619287304486,1.0003023913052511,5.876954318099318
3,6.836492273458898,159.34673870820143,1.000305817808279,5.910236008856505
3,6.87489953342215,159.34728761848567,1.0003092636155497,5.943519035489203
3,6.913306793385402,159.3478396038975,1.0003127287270623,5.976803405731952
3,6.951714053348654,159.34839466443702,1.0003162131428176,6.010089127323217
3,6.9901213133119064,159.34895280010417,1.0003197168628153,6.043376208005406
3,7.028528573275159,159.34951401089896,1.0003232398870554,6.076664655524903
3,7.066935833238412,159.35007829682138,1.0003267822155377,6.10995447763208
3,7.105343093201664,159.35064565787144,1.0003303438482625,6.143245682081326
3,7.143750353164916,159.35121609404916,1.0003339247852299,6.176538276631079
3,7.182157613128168,159.35178960535453,1.0003375250264397,6.2098322690438295
3,7.22056487309142,159.35236619178752,1.0003411445718917,6.243127667086172
3,7.258972133054672,159.35294585334816,1.0003447834215862,6.276424478528807
3,7.297379393017924,159.35352859003646,1.0003484415755233,6.309722711146567
3,7.335786652981176,159.35411440185237,1.0003521190337024,6.343022372718453
3,7.374193912944429,159.35470328879595,1.0003558157961243,6.376323471027651
3,7.4126011729076815,159.35529525086716,1.0003595318627885,6.4096260138615495
3,7.451008432870934,159.35589028806604,1.000363267233695,6.442930009011778
3,7.489415692834186,159.35648840039252,1.000367021908844,6.476235464274218
3,7.527822952797438,159.35708958784667,1.0003707958882355,6.509542387449036
3,7.56623021276069,159.35769385042846,1.0003745891718694,6.5428507863407
3,7.604637472723942,159.3583011881379,1.0003784017597455,6.576160668758011
3,7.643044732687195,159.35891160097495,1.0003822336518642,6.609472042514129
3,7.681451992650447,159.35952508893968,1.0003860848482253,6.642784915426581
3,7.719859252613699,159.360141652032,1.0003899553488287,6.6760992953173055
3,7.758266512576951,159.36076129025201,1.0003938451536745,6.709415190012668
3,7.7966737725402036,159.36138400359965,1.0003977542627627,6.742732607343479
3,7.835081032503456,159.36200979207493,1.0004016826760933,6.776051555145032
3,7.873488292466708,159.36263865567787,1.0004056303936666,6.809372041257118
3,7.91189555242996,159.36327059440845,1.000409597415482,6.842694073524053
3,7.950302812393213,159.36390560826663,1.00041358374154,6.876017659794706
3,7.988710072356465,159.36454369725251,1.0004175893718403,6.909342807922513
3,8.027117332319717,159.365184861366,1.000421614306383,6.942669525765516
3,8.06552459228297,159.36582910060713,1.000425658545168,6.9759978211863745
3,8.103931852246221,159.36647641497592,1.000429722088196,7.009327702052402
3,8.142339112209473,159.36712680447235,1.0004338049354657,7.042659176235577
3,8.180746372172726,159.36778026909641,1.0004379070869782,7.075992251612584
3,8.219153632135978,159.36843680884812,1.000442028542733,7.109326936064826
3,8.25756089209923,159.36909642372748,1.0004461693027302,7.142663237478452
